frame.time_epoch,frame.time_delta,frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,label
"1765647594.119899594","1.001005042","98","1",,,,,0
"1765647594.121781254","0.001881660","98","1",,,,,0
"1765647595.121440117","0.999658863","98","1",,,,,0
"1765647595.123190840","0.001750723","98","1",,,,,0
"1765647596.122191053","0.999000213","98","1",,,,,0
"1765647596.123623379","0.001432326","98","1",,,,,0
"1765647597.125001385","1.001378006","98","1",,,,,0
"1765647597.126760110","0.001758725","98","1",,,,,0
"1765647598.126042126","0.999282016","98","1",,,,,0
"1765647598.127329510","0.001287384","98","1",,,,,0
"1765647599.127943692","1.000614182","98","1",,,,,0
"1765647599.129554610","0.001610918","98","1",,,,,0
"1765647600.129417489","0.999862879","98","1",,,,,0
"1765647600.130926724","0.001509235","98","1",,,,,0
"1765647601.131937645","1.001010921","98","1",,,,,0
"1765647601.133896066","0.001958421","98","1",,,,,0
"1765647602.133795395","0.999899329","98","1",,,,,0
"1765647602.135255863","0.001460468","98","1",,,,,0
"1765647603.136284966","1.001029103","98","1",,,,,0
"1765647603.138828680","0.002543714","98","1",,,,,0
"1765647604.138502790","0.999674110","98","1",,,,,0
"1765647604.140112956","0.001610166","98","1",,,,,0
"1765647605.140446707","1.000333751","98","1",,,,,0
"1765647605.142390416","0.001943709","98","1",,,,,0
"1765647606.142382328","0.999991912","98","1",,,,,0
"1765647606.143865161","0.001482833","98","1",,,,,0
"1765647607.144270039","1.000404878","98","1",,,,,0
"1765647607.145980032","0.001709993","98","1",,,,,0
"1765647608.146556832","1.000576800","98","1",,,,,0
"1765647608.148216550","0.001659718","98","1",,,,,0
"1765647609.147840605","0.999624055","98","1",,,,,0
"1765647609.149297706","0.001457101","98","1",,,,,0
"1765647610.149956143","1.000658437","98","1",,,,,0
"1765647610.152108024","0.002151881","98","1",,,,,0
"1765647611.152546718","1.000438694","98","1",,,,,0
"1765647611.156548319","0.004001601","98","1",,,,,0
"1765647612.154375727","0.997827408","98","1",,,,,0
"1765647612.155816225","0.001440498","98","1",,,,,0
"1765647612.302134345","0.146318120","42",,,,,,0
"1765647612.304095518","0.001961173","60",,,,,,0
"1765647613.155289419","0.851193901","98","1",,,,,0
"1765647613.156620187","0.001330768","98","1",,,,,0
"1765647614.157172380","1.000552193","98","1",,,,,0
"1765647614.159002688","0.001830308","98","1",,,,,0
"1765647615.158258658","0.999255970","98","1",,,,,0
"1765647615.159711239","0.001452581","98","1",,,,,0
"1765647616.160517215","1.000805976","98","1",,,,,0
"1765647616.162662009","0.002144794","98","1",,,,,0
"1765647617.162377965","0.999715956","98","1",,,,,0
"1765647617.163875344","0.001497379","98","1",,,,,0
"1765647618.157981990","0.994106646","60",,,,,,0
"1765647618.157996896","0.000014906","42",,,,,,0
