frame.time_epoch,frame.time_delta,frame.time_relative,frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,tcp.stream,tcp.window_size,label
"1766001157.498872322","0.017656742","1170.674850439","1133","6","80","38002","0x0018","1067","65","5888",0
"1766001157.498953704","0.000081382","1170.674931821","66","6","38002","80","0x0010","0","65","63232",0
"1766001157.500708456","0.001754752","1170.676686573","66","6","38002","80","0x0011","0","65","64000",0
"1766001157.502893489","0.002185033","1170.678871606","66","6","80","38002","0x0011","0","65","5888",0
"1766001157.502923114","0.000029625","1170.678901231","66","6","38002","80","0x0010","0","65","64000",0
"1766001159.530152416","2.027229302","1172.706130533","74","6","59374","80","0x0002","0","66","64240",0
"1766001159.532001119","0.001848703","1172.707979236","74","6","80","59374","0x0012","0","66","5792",0
"1766001159.532055725","0.000054606","1172.708033842","66","6","59374","80","0x0010","0","66","64256",0
"1766001159.534319191","0.002263466","1172.710297308","138","6","59374","80","0x0018","72","66","64256",0
"1766001159.536114032","0.001794841","1172.712092149","66","6","80","59374","0x0010","0","66","5888",0
"1766001159.551545110","0.015431078","1172.727523227","1133","6","80","59374","0x0018","1067","66","5888",0
"1766001159.551584690","0.000039580","1172.727562807","66","6","59374","80","0x0010","0","66","63232",0
"1766001159.554948986","0.003364296","1172.730927103","66","6","59374","80","0x0011","0","66","64000",0
"1766001159.557083397","0.002134411","1172.733061514","66","6","80","59374","0x0011","0","66","5888",0
"1766001159.557106482","0.000023085","1172.733084599","66","6","59374","80","0x0010","0","66","64000",0
"1766001159.813959990","0.256853508","1172.989938107","74","6","59384","80","0x0002","0","67","64240",0
"1766001159.815353951","0.001393961","1172.991332068","74","6","80","59384","0x0012","0","67","5792",0
"1766001159.815380446","0.000026495","1172.991358563","66","6","59384","80","0x0010","0","67","64256",0
"1766001159.816237098","0.000856652","1172.992215215","138","6","59384","80","0x0018","72","67","64256",0
"1766001159.817616888","0.001379790","1172.993595005","66","6","80","59384","0x0010","0","67","5888",0
"1766001159.835708697","0.018091809","1173.011686814","1133","6","80","59384","0x0018","1067","67","5888",0
"1766001159.835759566","0.000050869","1173.011737683","66","6","59384","80","0x0010","0","67","63232",0
"1766001159.837631862","0.001872296","1173.013609979","66","6","59384","80","0x0011","0","67","64000",0
"1766001159.839134481","0.001502619","1173.015112598","66","6","80","59384","0x0011","0","67","5888",0
"1766001159.839153869","0.000019388","1173.015131986","66","6","59384","80","0x0010","0","67","64000",0
"1766001159.849700486","0.010546617","1173.025678603","74","6","59396","80","0x0002","0","68","64240",0
"1766001159.851896604","0.002196118","1173.027874721","74","6","80","59396","0x0012","0","68","5792",0
"1766001159.852084616","0.000188012","1173.028062733","66","6","59396","80","0x0010","0","68","64256",0
"1766001159.854245604","0.002160988","1173.030223721","189","6","59396","80","0x0018","123","68","64256",0
"1766001159.855598093","0.001352489","1173.031576210","66","6","80","59396","0x0010","0","68","5888",0
"1766001159.869758208","0.014160115","1173.045736325","1190","6","80","59396","0x0018","1124","68","5888",0
"1766001159.869802914","0.000044706","1173.045781031","66","6","59396","80","0x0010","0","68","66560",0
"1766001159.871743550","0.001940636","1173.047721667","66","6","59396","80","0x0011","0","68","66560",0
"1766001159.874155464","0.002411914","1173.050133581","66","6","80","59396","0x0011","0","68","5888",0
"1766001159.874185887","0.000030423","1173.050164004","66","6","59396","80","0x0010","0","68","66560",0
"1766001161.599350336","1.725164449","1174.775328453","74","6","59398","80","0x0002","0","69","64240",0
"1766001161.602117070","0.002766734","1174.778095187","74","6","80","59398","0x0012","0","69","5792",0
"1766001161.602363818","0.000246748","1174.778341935","66","6","59398","80","0x0010","0","69","64256",0
"1766001161.603296742","0.000932924","1174.779274859","138","6","59398","80","0x0018","72","69","64256",0
"1766001161.605768867","0.002472125","1174.781746984","66","6","80","59398","0x0010","0","69","5888",0
"1766001161.621167298","0.015398431","1174.797145415","1133","6","80","59398","0x0018","1067","69","5888",0
"1766001161.621229318","0.000062020","1174.797207435","66","6","59398","80","0x0010","0","69","63232",0
"1766001161.622555977","0.001326659","1174.798534094","66","6","59398","80","0x0011","0","69","64000",0
"1766001161.624318471","0.001762494","1174.800296588","66","6","80","59398","0x0011","0","69","5888",0
"1766001161.624340919","0.000022448","1174.800319036","66","6","59398","80","0x0010","0","69","64000",0
"1766001162.897993778","1.273652859","1176.073971895","74","6","59412","80","0x0002","0","70","64240",0
"1766001162.899436703","0.001442925","1176.075414820","74","6","80","59412","0x0012","0","70","5792",0
"1766001162.899464509","0.000027806","1176.075442626","66","6","59412","80","0x0010","0","70","64256",0
"1766001162.900315328","0.000850819","1176.076293445","138","6","59412","80","0x0018","72","70","64256",0
"1766001162.901692732","0.001377404","1176.077670849","66","6","80","59412","0x0010","0","70","5888",0
"1766001162.914674162","0.012981430","1176.090652279","1133","6","80","59412","0x0018","1067","70","5888",0
"1766001162.914718014","0.000043852","1176.090696131","66","6","59412","80","0x0010","0","70","63232",0
"1766001162.916026248","0.001308234","1176.092004365","66","6","59412","80","0x0011","0","70","64000",0
"1766001162.917200198","0.001173950","1176.093178315","66","6","80","59412","0x0011","0","70","5888",0
"1766001162.918224851","0.001024653","1176.094202968","66","6","59412","80","0x0010","0","70","64000",0
"1766001162.928285770","0.010060919","1176.104263887","74","6","59424","80","0x0002","0","71","64240",0
"1766001162.929834045","0.001548275","1176.105812162","74","6","80","59424","0x0012","0","71","5792",0
"1766001162.930000503","0.000166458","1176.105978620","66","6","59424","80","0x0010","0","71","64256",0
"1766001162.930894071","0.000893568","1176.106872188","189","6","59424","80","0x0018","123","71","64256",0
"1766001162.933040917","0.002146846","1176.109019034","66","6","80","59424","0x0010","0","71","5888",0
"1766001162.945764541","0.012723624","1176.121742658","1190","6","80","59424","0x0018","1124","71","5888",0
"1766001162.945836754","0.000072213","1176.121814871","66","6","59424","80","0x0010","0","71","66560",0
"1766001162.947092650","0.001255896","1176.123070767","66","6","59424","80","0x0011","0","71","66560",0
"1766001162.949474757","0.002382107","1176.125452874","66","6","80","59424","0x0011","0","71","5888",0
"1766001162.949497122","0.000022365","1176.125475239","66","6","59424","80","0x0010","0","71","66560",0
"1766001163.650146584","0.700649462","1176.826124701","74","6","59430","80","0x0002","0","72","64240",0
"1766001163.653183775","0.003037191","1176.829161892","74","6","80","59430","0x0012","0","72","5792",0
"1766001163.653229748","0.000045973","1176.829207865","66","6","59430","80","0x0010","0","72","64256",0
"1766001163.654681178","0.001451430","1176.830659295","138","6","59430","80","0x0018","72","72","64256",0
"1766001163.657203057","0.002521879","1176.833181174","66","6","80","59430","0x0010","0","72","5888",0
"1766001163.670085585","0.012882528","1176.846063702","1133","6","80","59430","0x0018","1067","72","5888",0
"1766001163.670138345","0.000052760","1176.846116462","66","6","59430","80","0x0010","0","72","63232",0
"1766001163.672535360","0.002397015","1176.848513477","66","6","59430","80","0x0011","0","72","64000",0
"1766001163.674451303","0.001915943","1176.850429420","66","6","80","59430","0x0011","0","72","5888",0
"1766001163.674472376","0.000021073","1176.850450493","66","6","59430","80","0x0010","0","72","64000",0
"1766001165.705021785","2.030549409","1178.880999902","74","6","59440","80","0x0002","0","73","64240",0
"1766001165.706424171","0.001402386","1178.882402288","74","6","80","59440","0x0012","0","73","5792",0
"1766001165.706599981","0.000175810","1178.882578098","66","6","59440","80","0x0010","0","73","64256",0
"1766001165.707226184","0.000626203","1178.883204301","138","6","59440","80","0x0018","72","73","64256",0
"1766001165.708858987","0.001632803","1178.884837104","66","6","80","59440","0x0010","0","73","5888",0
"1766001165.725460714","0.016601727","1178.901438831","1133","6","80","59440","0x0018","1067","73","5888",0
"1766001165.725503386","0.000042672","1178.901481503","66","6","59440","80","0x0010","0","73","63232",0
"1766001165.726899409","0.001396023","1178.902877526","66","6","59440","80","0x0011","0","73","64000",0
"1766001165.728453706","0.001554297","1178.904431823","66","6","80","59440","0x0011","0","73","5888",0
"1766001165.728472485","0.000018779","1178.904450602","66","6","59440","80","0x0010","0","73","64000",0
"1766001165.980479510","0.252007025","1179.156457627","74","6","59446","80","0x0002","0","74","64240",0
"1766001165.982822248","0.002342738","1179.158800365","74","6","80","59446","0x0012","0","74","5792",0
"1766001165.982876890","0.000054642","1179.158855007","66","6","59446","80","0x0010","0","74","64256",0
"1766001165.984485089","0.001608199","1179.160463206","138","6","59446","80","0x0018","72","74","64256",0
"1766001165.987113873","0.002628784","1179.163091990","66","6","80","59446","0x0010","0","74","5888",0
"1766001166.008431653","0.021317780","1179.184409770","1133","6","80","59446","0x0018","1067","74","5888",0
"1766001166.008480079","0.000048426","1179.184458196","66","6","59446","80","0x0010","0","74","63232",0
"1766001166.010406150","0.001926071","1179.186384267","66","6","59446","80","0x0011","0","74","64000",0
"1766001166.012146942","0.001740792","1179.188125059","66","6","80","59446","0x0011","0","74","5888",0
"1766001166.012171714","0.000024772","1179.188149831","66","6","59446","80","0x0010","0","74","64000",0
"1766001166.026250513","0.014078799","1179.202228630","74","6","59458","80","0x0002","0","75","64240",0
"1766001166.027777358","0.001526845","1179.203755475","74","6","80","59458","0x0012","0","75","5792",0
"1766001166.027825487","0.000048129","1179.203803604","66","6","59458","80","0x0010","0","75","64256",0
"1766001166.029474646","0.001649159","1179.205452763","189","6","59458","80","0x0018","123","75","64256",0
"1766001166.031156619","0.001681973","1179.207134736","66","6","80","59458","0x0010","0","75","5888",0
"1766001166.046652783","0.015496164","1179.222630900","1190","6","80","59458","0x0018","1124","75","5888",0
"1766001166.046692152","0.000039369","1179.222670269","66","6","59458","80","0x0010","0","75","66560",0
"1766001166.048182809","0.001490657","1179.224160926","66","6","59458","80","0x0011","0","75","66560",0
"1766001166.049886787","0.001703978","1179.225864904","66","6","80","59458","0x0011","0","75","5888",0
